,IGN,Name,Team,Role,Country,Age
84,Bobo,Bojan Lekanic,Alpaka Esports,Support,Austria,
85,Bolszak,Patryk Jażdżewski,Team DPD,Jungler,Poland,
86,Boohon,Boo Hon Huynh,S1.Academy,Mid,Netherlands,21.0
87,Boomin,Denis Melnikov,Echo Zulu,Support,Netherlands,
88,Boris,Mitch Voorspoels,G2 Esports,Manager,Belgium,29.0
89,Boykuh,Boy Kemps,ToxicFalcons,Manager,Netherlands,18.0
90,Bravado,Love Rapp,Schalke Evolution,Support,Sweden,17.0
91,Brizz,Luca Brizzante,Outplayed,Support,Italy,24.0
92,Broeki,Daniel Broekmann,WarKidZ E-Sports,Bot,Germany,28.0
93,Brokenshard,Ram Djemal,SK Gaming Prime,Coach,Israel,25.0
94,Broxah,Mads Brock-Pedersen,Fnatic,Jungler,Denmark,21.0
95,Bruness,Bruno Freund,Katastrofa Awionetki,Jungler,Poland,
96,Bruno,Bruno Romac,Samsung Morning Stars,Top,Croatia,
97,Bubnik2,Rafał Styczyński,ACTINA PACT,Top,Poland,
98,Bullet,Robert Pruchniewski,Outplayed,Bot,Poland,
99,Burnie,João Chaves,Boavista FC,Mid,Portugal,17.0
100,Bwipo,Gabriël Rau,Fnatic,Top,Belgium,20.0
101,Cabochard,Lucas Simon-Meslet,Team Vitality,Top,France,22.0
102,Cabra,Manuel Martínez,LVP,Broadcast Talent,Spain,
103,Caedrel,Marc Robert Lamont,Excel Esports,Jungler,United Kingdom,
104,Caelan,Romain Albesa,Solary,Coach,France,
105,Caltys,Maya Henckel,Out of the Blue,Bot,Sweden,17.0
106,Calyn,Giuseppe Maranò,Sparks,Analyst,Italy,22.0
107,Caps,Rasmus Winther,G2 Esports,Mid,Denmark,19.0
108,Carbono,Alejandro González Julián,S2V Esports,Jungler,Spain,
109,Carzzy,Matyáš Orság,BIG,Bot,Czech Republic,17.0
110,CastielMid,Dennis Hoese,ZeroSeven Gera,Analyst,Germany,20.0
111,Cathrine,Adelina Cathrine,Singularity Female,Bot,Sweden,
112,Cavaradøssi,Petko Tsvyatkov,Bulgaria's Finest,Jungler,Bulgaria,24.0
113,Cboi,Casper Bo Simonsen,Penguins,Jungler,Denmark,20.0
114,Cdric,Cédric Ratier Santini,against All authority,Mid,France,
115,Cephei,Ioannis-Nektarios Fakoudis (Ιωάννης-Νεκτάριος Φακούδης),Team Refuse,Top,Greece,23.0
116,Chap,Alexis Barret,Lunary,Bot,France,23.0
117,Chapapi,Randy van den Bemt,Defusekids,Mid,Netherlands,20.0
118,Charca,Tibor Charčenko,AS Trenčín,Bot,Czech Republic,
119,CHECKFIDER,Lukáš Nevyjel,Rift Rats,Bot,Czech Republic,15.0
120,Cherrie,David Pereira,FE Porto,Mid,Portugal,
121,ChosenOne,Algirdas Gricius,eNsure,Top,Lithuania,
122,Chosii,Kamil Chosa,Wisła Płock,Mid,Poland,
123,Chrisberg,Lars Christiansen,The Final Tribe,Bot,Denmark,19.0
124,Ciglio,Alessandro Biglioli,Manguste eSports,Bot,Italy,18.0
125,Cinkrof,Jakub Rokicki,devils.one,Jungler,Poland,21.0
126,Cl0x,Mladen Mitić,X25 Esports,Support,Serbia,20.0
127,Click,Vittorio Massolo,MOBA ROG,Support,Italy,21.0
128,Clown Sky,Melvin Bruens,Team Animals,Jungler,Netherlands,23.0
129,Coach Shelby,Marco Longo,MOBA ROG,Coach,Italy,
130,Cohle,Matteo Faoro,QLASH Forge Academy,Mid,Italy,
131,Comp,Markos Stamkopoulos (Μάρκος Σταμκόπουλος),Team-LDLC,Bot,Greece,
132,Compultion,Aristidis Sideridis (Αριστείδης Σιδερίδης),Gamespace eSports,Top,Greece,
133,Conjo,Patrick Jacobs,mousesports,Bot,Netherlands,
134,consequent,David Schreiner,PENTA 1860,Top,Austria,20.0
135,Counter,Giacomo Manconi,MOBA ROG,Bot,Italy,
136,CrAzY,Adam Fedoruk,Illuminar Gaming,Jungler,Poland,
137,Crazycaps,Andy Walda,Misfits Gaming,Manager,Netherlands,24.0
138,CrazyRabbit,Aimilios Zekia (Αιμίλιος Ζέκια),Team Refuse,Jungler,Greece,18.0
139,creabae,Remko Veerman,Echo Zulu,Coach,Netherlands,
140,Creon,Riccardo Santarelli,HG Esports,Bot,Italy,19.0
141,Cristo,Cristofaro Di Maggio,Sparks,Coach,Italy,
142,Crit Hero,Tom Aarts,Nefaria's McOrder,Mid,Netherlands,24.0
143,Crocomux,Davide Gioan,HG Esports,Mid,Italy,20.0
144,Cronan,Nils Cronemo,Wind and Rain Nordic,Mid,Sweden,
145,Crownshot,Juš Marušič,SK Gaming,Bot,Slovenia,21.0
146,Crusher,Gonçalo Brandão,For The Win Esports,Coach,Portugal,26.0
147,Cybonox,Justin Bassa,New Dynasty,Jungler,Netherlands,20.0
148,Czajekk,Mateusz Czajka,Katastrofa Awionetki,Mid,Poland,
149,Czaru,Krystian Przybylski,Team DPD,Top,Poland,24.0
150,Czekolad,Paweł Szczepanik,MAD Lions,Mid,Poland,
151,D3RK1NG155,Jakob Gramm,AeQ eSports,Bot,Austria,
152,Daejin,Gianluca Melchiorre,Bulldog Esports,Support,Germany,
153,Daiblo,Hugo Silva,GeekCase eSports,Jungler,Portugal,21.0
154,Dambaj,Damian Bajor,PRIDE,Bot,Poland,
155,Dan,Daniel Hockley,Fnatic,Jungler,United Kingdom,
156,Dan Dan,Danny Le Comte,Misfits Premier,Top,Netherlands,23.0
157,DanXD,Daniel Feldhäuser,Hyperion Esports,Top,Germany,
158,Dardan,Panagiotis Shehaj (Παναγιώτης Σεχάι),Retric eSports,Support,Albania,22.0
159,darkchri,Christian Devo,Racoon,Support,Italy,
160,Darkness,Rok Tekavec,FALKN,Mid,Slovenia,
161,Darlik,Aymeric Garçon,ROG Esport,Top,France,
162,Dawidsonek,Dawid Trojanowski,Team DPD,Mid,Poland,19.0
163,Deadly,Matthew Smith,Vodafone Giants,Bot,United Kingdom,19.0
164,Deficio,Martin Lynge,Origen,Manager,Denmark,27.0
165,defles,Damian Filipow,Redemption eSports,Bot,Poland,19.0
166,Degh,Oleksandr Degtyarov (Олександр Дегтярьов),MOBA ROG,Top,Ukraine,19.0
167,Dehaste,Sven Vidović,Split Raiders,Mid,Croatia,18.0
168,Deicara,Sebastian Schaar,Austrian Force,Mid,Germany,20.0
169,Deidara,Silverio Masi,Sparks,Top,Italy,17.0
170,Deilor,Luis Sevilla Petit,Movistar Riders,Manager,Spain,32.0
171,deIord,Paweł Szabla,Illuminar Gaming,Support,Poland,24.0
172,Delitto,Alexandros Karalis (Αλέχανδρος Καραλής),We Love Gaming,Top,Greece,24.0
173,Demi,Riccardo Falchetta,CS Italia,Top,Italy,23.0
174,Demon12,Lorenzo Marzi,QLASH Forge,Jungler,Italy,20.0
175,DenVoksne,Nikolaj Meilby,EJBY Brotherhood,Bot,Denmark,
176,denyk,Petr Haramach,Vodafone Giants,Support,Czech Republic,24.0
177,Desrim,Jan Störmer,PANTHERS Gaming,Bot,Germany,
178,Dest1ny,Leon Sorovos (Λέων Σοροβός),Pyrsos Esports,Jungler,Greece,
179,Dexui,Jani Hernesniemi,NYYRIKKI,Jungler,Finland,19.0
180,Diablo,Dorian Lefebvre,Hybrid eSports,Mid,France,
181,dibu,Janne Heikkonen,MJ-Esports,Jungler,Finland,19.0
182,Dinoricar,Ricardino Vulto,Team Animals,Mid,Netherlands,22.0
183,Dioud,Hugo Padioleau,paiN Gaming,Inactive,France,28.0
184,Divider,Aleksas Bogdevičius,Ventus Esports,Jungler,Lithuania,
185,DizL,Timothy Widmann,DIVIZON,Bot,Austria,17.0
