,IGN,Name,Team,Role,Country,Age
77,Feiz,Seo Dae-gil (서대길),Team Dynamics,Bot,South Korea,19.0
78,Fenix,Kim Jae-hun (김재훈),Echo Fox,Mid,South Korea,23.0
79,Fix Ma,Ma Jae-bum (마재범),XTEN Esports,Coach,South Korea,35.0
80,Flame,Lee Ho-jong (이호종),DAMWON Gaming,Top,South Korea,26.0
81,Flawless,Sung Yeon-jun (성연준),JD Gaming,Jungler,South Korea,20.0
82,Fly,Kim Sang-chul (김상철),SK Telecom T1,Coach,South Korea,31.0
83,Fly,Song Yong-jun (송용준),Gen.G,Mid,South Korea,23.0
84,Frozen,Kim Tae-il (김태일),SuperMassive,Mid,South Korea,24.0
85,Gaeng,Yang Gwang-yu (양광우),DetonatioN FM,Support,South Korea,22.0
86,Gango,Byun Se-hoon (변세훈),KT Rolster,Bot,South Korea,22.0
87,Ganknam,Seo Jin-yeong (서진영),Team Dynamics,Jungler,South Korea,19.0
88,GAP,Yoo Seon-woo (유선우),Winners,Bot,South Korea,22.0
89,Garden,Seo Jeong-won (서정원),MVP,Bot,South Korea,20.0
90,Gari,Bae Yong-jun (배용준),Liyab Esports,Bot,South Korea,
91,GBM,Lee Chang-seok (이창석),Galatasaray Esports,Mid,South Korea,24.0
92,GGamza,Lee Joo-young (이주영),Liyab Esports,Top,South Korea,
93,Ghost,Jang Yong-jun (장용준),SANDBOX Gaming,Bot,South Korea,20.0
94,GimGoon,Kim Han-saem (김한샘),FunPlus Phoenix,Top,South Korea,23.0
95,Gori,Kim Tae-woo (김태우),SK Telecom T1,Mid,South Korea,18.0
96,Gorilla,Kang Beom-hyun (강범현),Misfits Gaming,Support,South Korea,24.0
97,Grace,Lee Chan-ju (이찬주),Jin Air Green Wings,Mid,South Korea,18.0
98,Grail,Bong Geun-tae (봉근태),F-Soul Esports,Mid,South Korea,22.0
99,GuGer,Kim Do-yeop (김도엽),Team Dynamics,Support,South Korea,25.0
100,H Dragon,Han Sang-yong (한상용),Jin Air Green Wings,Coach,South Korea,38.0
101,Haru,Kang Min-seung (강민승),SK Telecom T1,Jungler,South Korea,20.0
102,Heart,Lee Gwan-hyung (이관형),EDward Gaming,Coach,South Korea,30.0
103,Hell,Kwon Jae-hwan (권재환),MVP,Coach,South Korea,29.0
104,Heokong,Heo Seong-joo (허성주),bbq Olivers,Top,South Korea,21.0
105,Hirai,Kang Dong-hoon (강동훈),Kingzone DragonX,Coach,South Korea,37.0
106,HiRit,Shin Tae-min (신태민),Team-LDLC,Top,South Korea,
107,Hiro,Lee Woo-suk (이우석),KaBuM! e-Sports,Coach,South Korea,
108,Hoit,Ryu Ho-seong (류호성),DAMWON Gaming,Support,South Korea,19.0
109,Holder,Bae Jae-cheol (배재철),Rogue Warriors,Top,South Korea,
110,Hollow,Shin Yong-jin (신용진),SANDBOX Gaming,Bot,South Korea,20.0
111,Homme,Yoon Sung-young (윤성영),JD Gaming,Coach,South Korea,34.0
112,HooN,Kim Nam-hoon (김남훈),VSG,Coach,South Korea,32.0
113,Huni,Heo Seung-hoon (허승훈),Clutch Gaming,Top,South Korea,21.0
114,HyBrid,Lee Woo-jin (이우진),Brion Blade,Bot,South Korea,19.0
115,Ian,An Jun-hyeong (안준형),Vici Gaming,Mid,South Korea,21.0
116,Icarus,Lee In-cheol,CERBERUS Esports,Coach,South Korea,
117,IDK,Kim Geon-tae (김건태),Asura,Support,South Korea,
118,iffy,Kim Hyeon-jun (김현준),MVP,Jungler,South Korea,
