,IGN,Name,Team,Role,Country,Age
81,Road,Roberto Freitas,Falkol,Bot,Brazil,
82,Robo,Leonardo Souza,Flamengo eSports,Top,Brazil,21.0
83,Sacy,Gustavo Rossi,RED Canids,Bot,Brazil,
84,Sadoski,Wesley Sadoski,Team oNe eSports,Support,Brazil,24.0
85,Sarkis,Matheus Guimarães Sarquis,Havan Liberty,Bot,Brazil,22.0
86,Sephis,Diego Alejandro de Alencar Jara,INTZ e-Sports,Jungler,Brazil,21.0
87,Shini,Diogo Rogê,INTZ e-Sports,Jungler,Brazil,22.0
88,Sirt,Thúlio Carlos,Falkol,Jungler,Brazil,
89,SkyBart,Mateus Neves,Team oNe eSports,Top,Brazil,
90,SrVenancio,Victor Venâncio,Furious Gaming,Coach,Brazil,25.0
91,Steal,Victor Ruiz,Falkol,Bot,Brazil,20.0
92,takeshi,Murilo Alves,Team oNe eSports,Mid,Brazil,25.0
93,Tay,Rodrigo Panisa,INTZ e-Sports,Top,Brazil,
94,TheFoxz,Renato de Souza Valsirolli,Bulldozer e-Sports,Bot,Brazil,
95,tinowns,Thiago Sartori,paiN Gaming,Mid,Brazil,
96,TitaN,Alexandre Lima dos Santos,RED Canids,Bot,Brazil,18.0
97,tockers,Gabriel  Claumann,Havan Liberty,Mid,Brazil,22.0
98,Turtle,Gabriel Peixoto,CNB e-Sports Club,Coach,Brazil,25.0
99,Vahvel,Victor Vieira,CNB e-Sports Club,Support,Brazil,
100,Venon,Fabio Guimarães,paiN Gaming,Top,Brazil,
101,Von,Gabriel Barbosa,Flamengo eSports,Coach,Brazil,25.0
102,VVvert,Álvaro Miguel Martins,Falkol,Top,Brazil,21.0
103,WoodBoy,Vinícius Hartmann,RED Academy,Support,Brazil,
104,Wos,Willyan Bonpam,ProGaming Esports,Support,Brazil,
105,Xabula,Victor Oliveira,RED Canids,Support,Brazil,21.0
106,xanad0,Henrique Schoenardie,RED Academy,Mid,Brazil,
107,Yampi,Yan Petermann,ProGaming Esports,Jungler,Brazil,21.0
108,Yang,Felipe Zhao,paiN Gaming,Top,Brazil,23.0
109,YoDa,Felipe Noronha,RED Canids,Mid,Brazil,
110,Zantins,Luccas Martins Zanqueta Silva,Havan Liberty,Top,Brazil,26.0
111,Zen,Gabriel Pontes,Falkol,Top,Brazil,
112,Zuao,João Vitor Morais,Redemption POA,Jungler,Brazil,21.0
