,IGN,Name,Team,Role,Country,Age
69,Maple,Huang Yi-Tang (黃熠棠),Suning,Mid,Taiwan,21.0
70,MeLTKeN,Yuen Sing Wai (袁成偉),Now You See Me,Bot,Hong Kong,
71,MnM,Wong Ka Chun (王嘉駿),Hong Kong Attitude,Bot,Hong Kong,
72,Moonblack,Leung Chung Hong (梁頌康),Dragon Gate Team,Mid,Hong Kong,
73,Morning,Chen Kuan-Ting (陳冠廷),Flash Wolves,Coach,Taiwan,23.0
74,NaNa,Chou Li-Yen (周莅晏),SuperEsports,Coach,Taiwan,21.0
75,NekoL,Yang Zhi-Li (楊子立),J Team 2,Bot,Taiwan,18.0
76,Nexus,Tung Tung (董童),SuperEsports,Top,Hong Kong,22.0
77,NL,Hsiung Wen-An (熊汶銨),Flash Wolves,Streamer,Taiwan,24.0
78,Panda,Chen Po-Han (陳柏翰),G-Rex Infinite,Bot,Taiwan,19.0
79,pasa,Lo Hung Sing (羅鴻盛),Dragon Gate Team,Support,Hong Kong,23.0
80,Payne,Tai Hao-Chuan (戴浩全),G-Rex Infinite,Coach,Taiwan,
81,PK,Hsieh Yu-Ting (謝宇庭),G-Rex,Top,Taiwan,23.0
82,Poppy,Chang Po-Hao (張博皓),Royal Club,Coach,Taiwan,
83,RB,,ahq Fighter,Jungler,Taiwan,
84,RD,Liang Teng-Li (梁騰勵),LGD Gaming,Support,Taiwan,25.0
85,REFRA1N,Chen Kuan-Ting (陳冠廷),J Team,Jungler,Taiwan,25.0
86,Rendi,Lyu Jhih-Yuan (呂致遠),J Team 2,Mid,Taiwan,17.0
87,Rest,Hsu Shih-Chieh (徐士傑),J Team,Top,Taiwan,20.0
88,Rock,Tsai Chung-Ting (蔡忠廷),MAD Team,Top,Taiwan,
89,SeNBon,Wu Si-Yu (吳思宇),ahq Fighter,Mid,Taiwan,18.0
90,seven six,Chen Bai-Ting (陳柏廷),Fish Dive Team,Bot,Taiwan,20.0
91,ShiauC,Liu Chia-Hao (劉家豪),Flash Wolves,Support,Taiwan,
92,SiuK,Law Chi Kit (羅智傑),Kowloon Esports,Bot,Hong Kong,19.0
93,SiuSiu,Wu Chu-Yung (吳居勇),MachiX,Mid,Taiwan,23.0
94,SkuLL,"Ng ""Gary"" Kwok Man (吳國玟)",Alpha Esports,Support,Hong Kong,21.0
95,Skywalk,Wong Chun Him (黃俊謙),Hong Kong Attitude,Coach,Hong Kong,
96,Steak,Chou Lu-Hsi (周律希),RNG,Coach,Taiwan,26.0
97,SwordArT,Hu Shuo-Chieh (胡碩傑),Suning,Support,Taiwan,22.0
98,Tak,Vong Tak Seng (黃德誠),F-Soul Esports,Bot,Macao,21.0
99,Tako,Huang Mu-Siang (黃睦翔),Fish Dive Team,Jungler,Taiwan,18.0
100,Tangerine,Ho Ssu-Han (何絲涵),Logi-A Team,Jungler,Taiwan,
101,TL,Yang Po-Jen (楊博任),MAD Team,Coach,Taiwan,
102,Uniboy,Chen Chang-Chu (陳昌駒),MAD Team,Mid,Taiwan,18.0
103,Unified,Wong Chun Kit (黃俊杰),Hong Kong Attitude,Bot,Hong Kong,19.0
104,Wako,Tsou Wei-Yang (鄒惟洋),ahq e-Sports Club,Bot,Taiwan,20.0
105,WarHorse,Chen Ju-Chih (陳如治),FunPlus Phoenix,Coach,Taiwan,
106,Wei,Fu Chien-Wei (傅千威),G-Rex,Coach,Taiwan,
107,Wing,Lam Wing Chun (林永俊),Hong Kong Attitude,Top,Hong Kong,
