,IGN,Name,Team,Role,Country,Age
84,GodLou,Wan Li-Peng (万李鹏),SDX Gaming,Mid,China,
85,Guoguo,Zeng Jun-Li (曾俊力),Oh My God,Mid,China,20.0
86,guxi,Zhang Wei-Jian (张玮健),TS Gaming,Top,China,
87,Gyu,Gong Yi-Xiong (龚毅雄),Snake WuDu,Mid,China,
88,h1rb,Lin Can-Teng (林灿腾),Gama Dream,Jungler,China,
89,H4cker,Yang Zhi-Hao (杨志浩),Suning,Jungler,China,20.0
90,HanXuan,Hong Hao (洪昊),BLG Junior,Mid,China,22.0
91,hardgirl,Jin Kai (金凯),WE Academy,Bot,China,21.0
92,Haro,Chen Wen-Lin (陈文林),Rogue Warriors,Jungler,China,20.0
93,Helper,Wang Huan-Wei (汪焕威),Legend Esport,Bot,China,
94,Hope,Wang Jie (王杰),EDward Gaming,Bot,China,18.0
95,huanfeng,Tang Huan-Feng (唐焕峰),iG Young,Bot,China,
96,Huanggai,Xia Long-Yang (夏龙洋),RW Shark,Support,China,23.0
97,Huatian,Tian Mai (田迈),Rogue Warriors,Mid,China,19.0
98,Hudie,Liu Yan-Zhu (刘彦住),Oh My God,Support,China,24.0
99,HwQ,Zhang Tao (张涛),Rogue Warriors,Mid,China,
100,hy,Han Xing (韩兴),WE Academy,Mid,China,
101,I am GROOT,Wang Zi-Yu,University of Wisconsin,Jungler,China,24.0
102,iBoy,Hu Xian-Zhao (胡显昭),EDward Gaming,Bot,China,18.0
103,icon,Xie Tian-Yu (谢天宇),Oh My God,Mid,China,23.0
104,Irma,Yang Zi-Ang (阳子昂),TS Gaming,Mid,China,
105,Jackairay,Xie Yu (谢宇),EDG Youth Team,Jungler,China,18.0
106,JackeyLove,Yu Wen-Bo (喻文波),Invictus Gaming,Bot,China,18.0
107,Jay,Chen Bo (陈波),Vici Gaming,Mid,China,19.0
108,JDM,Jiang Dong-Min (姜东民),Scorpio Game,Jungler,China,
109,Jerry,Zhou Ke-Xue (周克学),VG Potential,Support,China,
110,Jiangqiao,Jiang Jia-Feng (蒋嘉峰),Rogue Warriors,Top,China,21.0
111,jiawei,Fang Jia-Wei (方嘉伟),Suning Gaming-S,Top,China,
112,Jiejie,Zhao Li-Jie (赵礼杰),EDward Gaming,Jungler,China,
113,Jinjiao,Xie Jin-Shan (谢金山),Bilibili Gaming,Bot,China,21.0
114,JiuMeng,Zhao Jia-Hao (赵嘉豪),Team WE,Bot,China,
115,JOJO,Deng Hao (邓浩),Snake WuDu,Support,China,
116,justsoso,Rao Qing-Yu (饶庆宇),WE Academy,Jungler,China,
117,Jzr,Jiang Zheng-Rong (蒋峥蓉),Oh My Dream,Jungler,China,
118,Kahom,Liu Jia-Hong (刘家宏),BLG Junior,Top,China,
119,Kailai,Zhou Kai-Lai (周开来),Royal Club,Mid,China,
120,Kane,Chen Hao (陈灏),Oh My God,Bot,China,
121,Kart,Zhao Yi-Bo (赵奕博),SinoDragon Prince,Support,China,
122,Kay,Li Jin-Zhou (李锦州),Victorious Gaming,Mid,China,
123,keke,Zhang Ke (张可),Snake WuDu,Support,China,
124,Killua,Liu Dan-Yang (刘丹阳),Rogue Warriors,Support,China,22.0
125,Kine,Xie Chao (谢超),Bilibili Gaming,Support,China,18.0
126,Kiwi,Yang Jie (杨杰),Alpha Esports,Jungler,China,21.0
127,Kiy1n9,Dai Yi-Peng (戴伊鹏),SDX Gaming,Jungler,China,
128,Knight,Zhuo Ding (卓定),Top Esports,Mid,China,19.0
129,Kolia,Qin Ze-Qi (覃泽琪),Alpha Esports,Coach,China,
130,KongMing,Huang Yi-Jun (黄忆军),Scorpio Game,Mid,China,21.0
131,Kore,Qiao Yi-Di (乔艺荻),87,Bot,China,
132,kRYST4L,Yang Fan (杨藩),Oh My God,Bot,China,25.0
133,Kumamon,Xing Zhi-Bin (邢志斌),Legend Esport,Jungler,China,21.0
134,L1n,Chen Shi-Lin (陈世林),SDX Gaming,Support,China,
135,L1zzie,Chen Wen-Bo (陈文伯),Scorpio Game,Top,China,
136,Langx,Xie Zhen-Ying (谢镇营),RNG,Top,China,21.0
137,LaoZhou,Zhou Chao (周超),Mighty Eagle,Top,China,
138,Lazy,Qu Run-Fan (屈润帆),TS Gaming,Jungler,China,
139,Lff,Li Feng-Fei (李风飞),87,Jungler,China,
140,Lies,Guo Hao-Tian (郭昊天),LGD Gaming,Top,China,21.0
141,Light,Wang Guang-Yu (王光宇),Snake WuDu,Bot,China,18.0
142,Lilac,Liu Yi-Chen (刘一尘),Suning Gaming-S,Mid,China,
143,LiLian,Zhang Meng-Yu (张梦宇),SinoDragon Prince,Bot,China,
144,LoveZrr,Xiao Zhi (肖志),RNG,Top,China,
145,Lucas,Li-Tan Pan-Ao (李谭潘奥),iG Young,Support,China,
146,LvMao,Zuo Ming-Hao (左名豪),JD Gaming,Support,China,23.0
147,Lwandy,Liao Ding-Yang (廖顶洋),LinGan e-Sports,Support,China,
148,Lwx,Lin Wei-Xiang (林炜翔),FunPlus Phoenix,Bot,China,21.0
149,M03,Jiang Zhen (蒋震),BLG Junior,Mid,China,
150,M1anhua,Chen Jia-Hao (陈家豪),BLG Junior,Jungler,China,19.0
151,M1kuya,Chang Xiao (常啸),SDX Gaming,Top,China,
152,Maestro,Hu Jian-Xin (胡建鑫),LNG Esports,Support,China,21.0
153,Maggie,Zhao Yu (赵煜),Suning Gaming-S,Jungler,China,
154,Magic,Zhou Jun-Xuan (周俊轩),WE Academy,Jungler,China,22.0
155,Mantouz,Cai Wei-Long (蔡炜龙),King of Future,Mid,China,
156,MaRco,Lu Rong-Hua (卢荣华),Young Miracles,Support,China,
157,Mark,Ling Xu (凌旭),Dominus Esports,Support,China,20.0
158,Martin,Tan Qi (谭琦),LinGan e-Sports,Support,China,21.0
159,Max,Li Xiao-Qiang (李孝强),Victory Five,Support,China,
160,May,Bai Ren-Jie (柏仁杰),Legend Esport,Support,China,
161,Medusa,Feng Jun-Da (冯俊达),Oh My Dream,Support,China,
162,Meiko,Tian Ye (田野),EDward Gaming,Support,China,20.0
163,melody,Liu Yi-Fan (刘亦凡),SinoDragon Prince,Top,China,
164,Meteor,Zeng Guo-Hao (曾国豪),Bilibili Gaming,Jungler,China,19.0
165,Ming,Shi Sen-Ming (史森明),RNG,Support,China,20.0
166,mingjing,Xie Ming-Jing (谢明晶),FunPlus Blaze,Jungler,China,
167,Mingren,Chen Sheng-Wen (谌胜文),FunPlus Blaze,Jungler,China,
168,Minn,Huang Min-Min (黄敏敏),EDG Youth Team,Top,China,21.0
169,Mint,Wan Kun (万坤),Victorious Gaming,Bot,China,20.0
170,Missing,Lou Yun-Feng (娄运峰),Team WE,Support,China,18.0
171,Mitsuki,Lu Jia-Lun (陆佳伦),Dominus Esports,Support,China,19.0
172,Mlxg,Liu Shi-Yu (刘世宇),RNG,Jungler,China,23.0
173,Mole,Li Hao-Yan (李昊炎),Victory Five,Mid,China,18.0
174,Moon,Zhang Yue-Kai (张月开),Royal Club,Mid,China,16.0
175,Moonlight,Yang En-Jian (杨恩健),BLG Junior,Support,China,21.0
176,Moyu,Xiong Hui-Dong (熊晖东),Top Esports,Top,China,21.0
177,Nailao,Wang Ji-Peng (汪继鹏),Royal Club,Jungler,China,
178,Nanzhu,Luo Jia-Rong (罗镓荣),Gama Dream,Mid,China,21.0
179,New,Tian Zhi-Peng (田志鹏),TS Gaming,Top,China,
180,Ning,Gao Zhen-Ning (高振宁),Invictus Gaming,Jungler,China,21.0
181,noble,Zhang Zhi-Ming (张致明),VG Potential,Jungler,China,
182,panfeng,Lin Shang-Ren (林尚任),RW Shark,Support,China,
183,Pang,Ling Wen-Xuan (凌文轩),VP Game,Mid,China,
184,Penguin,Zhao Shuai (赵帅),Oh My God,Jungler,China,21.0
185,Peter Zhang,"Zhang ""Peter"" Yi (張藝)",TSM Academy,Coach,China,20.0
186,Photic,Ying Qi-Shen (应祺燊),King of Future,Bot,China,
187,Pokemon,Zeng Tao (曾韬),VP Game,Coach,China,28.0
188,polaris,Li Xiang (李想),SinoDragon Prince,Support,China,
189,PpengYbo1,Peng Yuan-Bo (彭元波),ahq Fighter,Jungler,China,20.0
190,ppgod,Guo Peng (郭鹏),FunPlus Blaze,Support,China,
191,Pudding,Bi Hao-Tian (毕浩天),TS Gaming,Support,China,
192,Puff,Ding Wang (丁旺),Vici Gaming,Bot,China,
193,Puzzle,Li Yuan-Xi (李元曦),Young Miracles,Top,China,
194,Pyl,Chen Bo (陈博),LGD Gaming,Support,China,24.0
195,QiuQiu,Zhang Ming (张明),Top Esports,Support,China,21.0
196,Rashomon,Luo Bin (罗斌),TS Gaming,Analyst,China,
197,rat,Peng Qiao-Yu (彭乔宇),Young Miracles,Bot,China,
198,Rikka,Zhang Jue (张崛),LinGan e-Sports,Top,China,
199,Rin,Wang Lu-Chao (王露潮),Gama Dream,Mid,China,
200,Rookie,Song Eui-jin (송의진),Invictus Gaming,Mid,South Korea,22.0
