,Year,Rank,Game,Overall Prize,Players,Tournaments
702,2011,14,Magic: The Gathering Online,100000.0,12,1
703,2011,15,Heroes of Newerth,94840.35,31,11
704,2011,16,FIFA 11,90180.92,68,62
705,2011,17,Super Street Fighter IV Arcade Edition,56552.09,41,14
706,2011,18,KartRider,54123.0,11,4
707,2011,19,iRacing.com,48900.0,14,3
708,2011,20,Special Force,44650.0,0,1
709,2011,21,Super Smash Bros. Melee,44594.21,142,52
710,2011,22,Team Fortress 2,41392.07,133,14
711,2011,23,Tekken 6,37914.17,33,12
712,2011,24,CrossFire,34000.0,15,1
713,2011,25,Mortal Kombat 9,29501.67,26,8
714,2011,26,Super Smash Bros. Brawl,28153.32,107,35
715,2011,27,TrackMania Nations Forever,27093.55,35,12
716,2011,28,Marvel vs. Capcom 3,22144.33,38,11
717,2011,29,Bloodline Champions,20000.0,16,2
718,2011,30,World of Tanks,18503.12,7,2
719,2011,31,Marvel vs. Capcom 2,15000.0,6,3
720,2011,32,Call of Duty 4: Modern Warfare,14653.11,37,9
721,2011,33,BlazBlue: Continuum Shift II,7591.43,14,4
722,2011,34,Gears of War,4127.0,0,3
723,2011,35,Age of Empires,3727.63,27,5
724,2011,36,TrackMania 2: Canyon,2302.66,3,1
725,2011,37,FIFA 12,1761.0,12,15
726,2011,38,Super Street Fighter IV,1706.8,22,10
727,2011,39,Arcana Heart 3,1000.0,4,1
728,2011,40,Super Street Fighter II Turbo,820.0,11,2
729,2011,41,Super Smash Bros.,330.0,3,2
730,2011,42,Soul Calibur IV,260.0,3,1
731,2011,43,Street Fighter III: 3rd Strike,240.0,3,1
732,2011,44,Project M,225.0,4,1
733,2011,45,Age of Empires Online,100.0,3,1
734,2011,46,Street Fighter IV,90.0,2,1
735,2011,47,Wolfenstein: Enemy Territory,86.37,6,1
736,2011,48,Ultimate Marvel vs. Capcom 3,45.0,2,1
737,2011,49,Mortal Kombat vs. DC Universe,0.0,3,1
738,2011,50,Super Street Fighter II Turbo HD Remix,0.0,3,1
739,2011,51,Ultimate Mortal Kombat 3,0.0,3,1
740,2010,1,Counter-Strike,1446039.99,848,112
741,2010,2,StarCraft II,820839.29,320,278
742,2010,3,Halo 3,798113.79,85,9
743,2010,4,StarCraft: Brood War,628499.64,99,15
744,2010,5,WarCraft III,361963.85,79,87
745,2010,6,Counter-Strike: Source,348114.03,542,61
746,2010,7,World of WarCraft,291250.0,63,9
747,2010,8,Quake Live,177411.41,77,77
748,2010,9,Defense of the Ancients,158306.3,116,17
749,2010,10,FIFA 10,117026.71,64,48
750,2010,11,Halo: Reach,114000.0,1,3
751,2010,12,Magic: The Gathering Online,100000.0,12,1
752,2010,13,Soul Calibur IV,100000.0,1,1
753,2010,14,Special Force,85600.0,0,2
754,2010,15,Tekken 6,76418.69,32,13
755,2010,16,Gears of War 2,75000.0,0,1
756,2010,17,Super Smash Bros. Brawl,74699.16,74,24
757,2010,18,Call of Duty: Modern Warfare 2,55798.8,29,6
758,2010,19,KartRider,51240.0,12,4
759,2010,20,Heroes of Newerth,45064.9,23,8
760,2010,21,Team Fortress 2,39388.37,163,15
761,2010,22,Call of Duty 4: Modern Warfare,38705.41,149,14
762,2010,23,TrackMania Nations Forever,35772.86,48,12
763,2010,24,Super Smash Bros. Melee,31742.98,149,65
764,2010,25,iRacing.com,28000.0,5,2
765,2010,26,League of Legends,27942.64,87,23
766,2010,27,CrossFire,23000.0,0,1
767,2010,28,Super Street Fighter IV,19170.5,26,6
768,2010,29,Carom 3D,11000.0,3,1
769,2010,30,Forza Motorsport 3,11000.0,3,2
770,2010,31,Guitar Hero 5,10500.0,3,1
771,2010,32,Need for Speed: Shift,10500.0,3,1
772,2010,33,Gears of War,10193.3,0,1
773,2010,34,Wolfenstein: Enemy Territory,6811.76,15,1
774,2010,35,Street Fighter IV,3805.5,11,5
775,2010,36,FIFA 11,3802.85,14,16
776,2010,37,Day of Defeat: Source,3069.04,18,3
777,2010,38,FIFA 09,2731.65,3,2
778,2010,39,"Warhammer 40,000: Dawn of War",1816.5,2,1
779,2010,40,Pro Evolution Soccer 2009,682.91,3,1
780,2010,41,Age of Empires,308.0,18,1
781,2010,42,Tatsunoko vs. Capcom: Ultimate All-Stars,300.81,6,3
782,2010,43,Super Smash Bros.,180.0,8,4
783,2010,44,Super Street Fighter II Turbo HD Remix,160.0,6,2
784,2010,45,Capcom vs. SNK,140.0,3,1
785,2010,46,Marvel vs. Capcom 2,130.0,6,2
786,2010,47,Melty Blood: Actress Again,0.0,3,1
787,2009,1,Counter-Strike,1345951.7,720,116
788,2009,2,StarCraft: Brood War,708775.32,137,51
789,2009,3,WarCraft III,387351.0,74,90
790,2009,4,World of WarCraft,350138.91,68,12
791,2009,5,Counter-Strike: Source,247039.65,321,47
792,2009,6,Halo 3,234900.71,76,7
793,2009,7,Defense of the Ancients,124530.2,123,17
794,2009,8,FIFA 09,118886.69,52,17
795,2009,9,Call of Duty 4: Modern Warfare,109724.84,117,21
796,2009,10,Quake Live,79946.08,33,19
797,2009,11,Gears of War 2,60000.0,0,4
798,2009,12,Super Smash Bros. Melee,51999.99,161,89
799,2009,13,Magic: The Gathering Online,50000.0,8,1
800,2009,14,Super Smash Bros. Brawl,48302.26,195,97
801,2009,15,TrackMania Nations Forever,30803.54,17,8
802,2009,16,Red Stone,23000.0,12,1
803,2009,17,Team Fortress 2,17394.12,105,7
804,2009,18,Rainbow Six: Vegas 2,15000.0,0,1
805,2009,19,Asphalt 4,12000.0,3,1
806,2009,20,Carom 3D,12000.0,3,1
807,2009,21,Virtua Fighter 5,12000.0,3,2
808,2009,22,Wise Star 2,12000.0,3,1
809,2009,23,Quake III Arena,10591.18,20,7
810,2009,24,Wolfenstein: Enemy Territory,6637.46,18,1
811,2009,25,Call of Duty 2,4401.02,0,1
812,2009,26,Call of Duty: Modern Warfare 2,4211.84,11,2
813,2009,27,FIFA 08,2560.19,3,1
814,2009,28,Street Fighter IV,1602.72,13,5
815,2009,29,Age of Empires,880.0,16,1
816,2009,30,Day of Defeat: Source,713.06,18,1
817,2009,31,Pro Evolution Soccer 2009,713.06,3,4
818,2009,32,Super Smash Bros.,100.0,7,2
819,2009,33,Marvel vs. Capcom 2,90.0,6,2
820,2009,34,Street Fighter III: 3rd Strike,45.0,3,2
821,2009,35,BlazBlue: Calamity Trigger,35.0,3,1
822,2009,36,Guilty Gear XX Accent Core,35.0,9,2
823,2009,37,King of Fighters XI,25.0,3,1
824,2009,38,Guilty Gear XX Accent Core Plus,0.0,3,1
825,2009,39,Super Street Fighter II Turbo HD Remix,0.0,8,2
826,2008,1,Counter-Strike,1593534.82,662,107
827,2008,2,StarCraft: Brood War,1049976.45,191,26
828,2008,3,Counter-Strike: Source,870731.1,467,60
829,2008,4,Halo 3,688924.67,72,11
830,2008,5,WarCraft III,681496.09,116,105
831,2008,6,World of WarCraft,450500.0,72,11
832,2008,7,World in Conflict,228110.73,20,7
833,2008,8,Call of Duty 4: Modern Warfare,218907.09,165,23
834,2008,9,Forza Motorsport 2,207000.0,16,1
835,2008,10,FIFA 08,201433.25,62,13
836,2008,11,Dead or Alive 4,189708.46,18,3
837,2008,12,F.E.A.R.,118000.0,8,2
838,2008,13,Unreal Tournament 3,104812.82,3,3
839,2008,14,Madden NFL 2009,100000.0,1,1
840,2008,15,Defense of the Ancients,81556.24,55,11
841,2008,16,Gears of War,66974.5,0,6
842,2008,17,Quake III Arena,65619.7,23,14
843,2008,18,Rainbow Six: Vegas 2,64000.0,0,6
844,2008,19,Team Fortress 2,57261.5,42,6
845,2008,20,Red Stone,35000.0,6,1
846,2008,21,Need for Speed: ProStreet,32208.46,12,3
847,2008,22,Command & Conquer 3,28185.41,7,5
848,2008,23,Project Gotham Racing 4,25208.46,5,3
849,2008,24,Quake Live,25000.0,19,2
850,2008,25,TrackMania Nations,23000.0,3,3
851,2008,26,Super Smash Bros. Melee,22934.61,85,27
852,2008,27,Guitar Hero III: Legends of Rock,19000.0,8,2
853,2008,28,Age of Empires III,17500.0,3,1
854,2008,29,Asphalt 4,17500.0,3,1
855,2008,30,Carom 3D,17500.0,3,1
856,2008,31,Virtua Fighter 5,17500.0,3,2
857,2008,32,Super Smash Bros. Brawl,16501.87,88,35
858,2008,33,Wolfenstein: Enemy Territory,12014.88,30,2
859,2008,34,Enemy Territory: Quake Wars,4650.12,6,1
860,2008,35,Battlefield 2,2976.95,0,1
861,2008,36,Crysis,2976.95,0,1
862,2008,37,Street Fighter III: 3rd Strike,2890.0,5,2
863,2008,38,QuakeWorld,2775.07,0,1
864,2008,39,Marvel vs. Capcom 2,2610.0,10,4
865,2008,40,Day of Defeat: Source,2285.82,12,1
866,2008,41,Pro Evolution Soccer 2008,2084.15,6,3
867,2008,42,TrackMania Nations Forever,1970.0,3,1
868,2008,43,Super Street Fighter II Turbo,1770.0,6,2
869,2008,44,Tekken 5: Dark Resurrection,1720.0,6,2
870,2008,45,Unreal Tournament 2003,1700.0,1,1
871,2008,46,Capcom vs. SNK 2,1450.0,6,2
872,2008,47,Supreme Commander: Forged Alliance,1290.01,0,1
873,2008,48,Age of Empires II: The Age of Kings,1000.0,2,1
874,2008,49,Guilty Gear XX Accent Core,80.0,3,1
875,2007,1,Counter-Strike,1616905.59,834,99
876,2007,2,StarCraft: Brood War,1049963.19,128,37
877,2007,3,Counter-Strike: Source,839646.6,408,45
878,2007,4,WarCraft III,800507.08,113,101
879,2007,5,Halo 2,673462.47,65,14
880,2007,6,Dead or Alive 4,254986.85,30,6
881,2007,7,Project Gotham Racing 3,224986.85,27,5
882,2007,8,World of WarCraft,213500.0,21,7
883,2007,9,FIFA 07,210512.23,37,10
884,2007,10,Rainbow Six: Vegas,176400.77,137,7
885,2007,11,Gears of War,170900.77,33,7
886,2007,12,Quake 4,146558.81,30,10
887,2007,13,Halo 3,100000.0,16,1
888,2007,14,Madden NFL 2007,100000.0,1,1
889,2007,15,Madden NFL 2008,100000.0,1,1
890,2007,16,Super Smash Bros. Melee,74733.31,115,65
891,2007,17,Rise of Nations: Rise of Legends,69600.0,8,1
892,2007,18,World in Conflict,65227.5,19,4
893,2007,19,F.E.A.R.,59500.0,20,3
894,2007,20,Enemy Territory: Quake Wars,56273.0,26,2
895,2007,21,Need for Speed Carbon,36322.58,8,3
896,2007,22,Defense of the Ancients,35076.49,31,6
897,2007,23,Call of Duty 2,29089.98,25,6
898,2007,24,Command & Conquer 3,24901.26,5,3
899,2007,25,Shadowrun,24000.0,0,3
900,2007,26,Pro Evolution Soccer 6,20216.82,5,2
901,2007,27,Age of Empires III,20000.0,3,1
902,2007,28,Carom 3D,20000.0,3,1
903,2007,29,Wolfenstein: Enemy Territory,19156.88,58,3
904,2007,30,TrackMania Nations,19000.0,3,1
905,2007,31,Battlefield 2142,18546.14,0,3
906,2007,32,Capcom vs. SNK 2,10250.0,8,2
907,2007,33,Guilty Gear XX Accent Core,10250.0,23,1
908,2007,34,Marvel vs. Capcom 2,10250.0,8,2
909,2007,35,Street Fighter III: 3rd Strike,10250.0,11,3
910,2007,36,Super Street Fighter II Turbo,10250.0,8,2
911,2007,37,Tekken 5: Dark Resurrection,10250.0,8,2
912,2007,38,Virtua Fighter 5,10250.0,8,2
913,2007,39,Age of Empires II: The Age of Kings,10010.0,16,1
914,2007,40,Team Fortress 2,9182.0,21,2
915,2007,41,Crysis,8364.0,0,1
916,2007,42,Battlefield 2,6514.86,0,2
917,2007,43,Call of Duty 4: Modern Warfare,6273.0,20,1
918,2007,44,Quake III Arena,5789.26,17,6
919,2007,45,S.T.A.L.K.E.R.: Shadow of Chernobyl,4901.26,0,1
920,2007,46,Supreme Commander,4901.26,0,1
921,2007,47,FIFA 08,3136.5,4,3
922,2007,48,Live for Speed,2008.27,5,1
923,2007,49,Day of Defeat: Source,996.07,0,1
924,2007,50,Super Smash Bros.,940.0,11,4
925,2006,1,Counter-Strike,2101051.86,923,112
926,2006,2,StarCraft: Brood War,809030.24,142,41
927,2006,3,Halo 2,618050.0,54,19
928,2006,4,WarCraft III,497579.95,84,62
929,2006,5,Quake 4,358339.0,73,35
930,2006,6,Counter-Strike: Source,177710.53,254,27
931,2006,7,Super Smash Bros. Melee,144584.0,44,22
932,2006,8,Madden NFL 2006,100000.0,1,1
933,2006,9,FIFA 06,84069.99,15,8
934,2006,10,Quake III Arena,83813.76,46,6
935,2006,11,Battlefield 2,79074.59,0,8
936,2006,12,Project Gotham Racing 3,72300.0,8,4
937,2006,13,TrackMania Nations,72000.0,11,2
938,2006,14,Dead or Alive 4,53050.0,13,4
939,2006,15,"Warhammer 40,000: Dawn of War",43000.0,3,1
940,2006,16,Wolfenstein: Enemy Territory,36350.2,54,4
941,2006,17,Need for Speed: Most Wanted,35000.0,14,6
942,2006,18,Gran Turismo 4,32000.0,4,1
943,2006,19,Pro Evolution Soccer 5,32000.0,4,1
944,2006,20,Call of Duty 2,31249.28,0,8
945,2006,21,FIFA 07,27300.0,5,3
946,2006,22,Ghost Recon Advanced Warfighter,24000.0,0,2
947,2006,23,Forza Motorsport 2,15000.0,2,1
948,2006,24,Day of Defeat,10300.0,0,1
949,2006,25,Capcom vs. SNK 2,10250.0,8,1
950,2006,26,Guilty Gear XX Slash,10250.0,6,1
951,2006,27,Hyper Street Fighter II,10250.0,8,1
952,2006,28,Marvel vs. Capcom 2,10250.0,8,1
953,2006,29,Street Fighter III: 3rd Strike,10250.0,8,1
954,2006,30,Tekken 5,10250.0,8,1
955,2006,31,Live for Speed,1895.48,6,2
956,2006,32,Defense of the Ancients,738.83,5,1
957,2006,33,Age of Empires,289.25,19,2
958,2005,1,Counter-Strike,1286412.3,705,87
959,2005,2,Painkiller,960000.0,42,10
960,2005,3,StarCraft: Brood War,592759.49,88,28
961,2005,4,WarCraft III,438648.01,93,41
962,2005,5,Halo 2,197850.0,65,38
963,2005,6,Counter-Strike: Source,150546.22,103,12
964,2005,7,FIFA 05,57728.01,5,7
965,2005,8,Quake III Arena,56673.87,24,9
966,2005,9,Quake 4,51780.7,42,7
967,2005,10,Doom 3,50000.0,3,1
968,2005,11,Wolfenstein: Enemy Territory,50000.0,19,1
969,2005,12,Pro Evolution Soccer 4,40550.64,11,2
970,2005,13,Super Smash Bros. Melee,36072.46,48,30
971,2005,14,Need for Speed: Underground 2,35000.0,6,3
972,2005,15,"Warhammer 40,000: Dawn of War",35000.0,3,1
973,2005,16,Day of Defeat,30000.0,23,1
974,2005,17,Dead or Alive Ultimate,30000.0,3,1
975,2005,18,Unreal Tournament 2004,27456.92,14,7
976,2005,19,FIFA 06,26694.54,6,2
977,2005,20,Quake II,20000.0,3,1
978,2005,21,Gran Turismo 4,12000.0,4,1
979,2005,22,Age of Empires II: The Age of Kings,4900.0,8,1
980,2005,23,Halo: Combat Evolved,3675.0,11,3
981,2005,24,Battlefield 2,3148.82,0,1
982,2005,25,Live for Speed,2823.77,7,2
983,2005,26,Defense of the Ancients,1736.36,0,2
984,2005,27,Need for Speed: Most Wanted,694.54,4,1
985,2005,28,Call of Duty,629.77,0,2
986,2005,29,Capcom vs. SNK 2,0.0,3,1
987,2005,30,Guilty Gear XX #Reload,0.0,3,1
988,2005,31,Marvel vs. Capcom 2,0.0,3,1
989,2005,32,Project Gotham Racing 2,0.0,3,1
990,2005,33,Street Fighter III: 3rd Strike,0.0,3,1
991,2005,34,Super Street Fighter II Turbo,0.0,3,1
992,2005,35,Tekken 5,0.0,3,8
993,2005,36,Tekken Tag Tournament,0.0,3,1
994,2004,1,Counter-Strike,848934.67,608,80
995,2004,2,StarCraft: Brood War,498433.15,77,16
996,2004,3,WarCraft III,353388.9,111,72
997,2004,4,Doom 3,207748.16,13,3
998,2004,5,Halo: Combat Evolved,183456.0,59,22
999,2004,6,Quake III Arena,111500.0,35,4
1000,2004,7,Unreal Tournament 2004,106512.41,30,4
1001,2004,8,Counter-Strike: Condition Zero,85000.0,15,1
1002,2004,9,Painkiller,55000.0,18,3
1003,2004,10,Call of Duty,50000.0,51,1
1004,2004,11,FIFA 04,40000.0,3,2
1005,2004,12,Need for Speed: Underground,35000.0,3,1
1006,2004,13,Project Gotham Racing 2,35000.0,3,1
1007,2004,14,Pro Evolution Soccer 3,25000.0,8,1
1008,2004,15,Super Smash Bros. Melee,10644.5,17,10
1009,2004,16,Day of Defeat,10000.0,6,1
1010,2004,17,Age of Empires II: The Age of Kings,5900.0,13,4
1011,2004,18,Age of Mythology,3000.0,8,1
1012,2004,19,Soul Calibur II,2700.0,3,2
1013,2004,20,Gran Turismo 3: A-Spec,1750.0,3,1
1014,2004,21,Capcom vs. SNK 2,0.0,3,1
1015,2004,22,FIFA 05,0.0,0,1
1016,2004,23,Guilty Gear XX,0.0,3,1
1017,2004,24,Live for Speed,0.0,1,2
1018,2004,25,Marvel vs. Capcom 2,0.0,3,1
1019,2004,26,Street Fighter III: 3rd Strike,0.0,3,1
1020,2004,27,Super Street Fighter II Turbo,0.0,3,1
1021,2004,28,Tekken 4,0.0,3,1
1022,2004,29,Tekken Tag Tournament,0.0,3,1
1023,2004,30,Virtua Fighter 4: Evolution,0.0,3,1
1024,2003,1,Counter-Strike,804577.99,474,60
1025,2003,2,StarCraft: Brood War,276838.39,81,16
1026,2003,3,WarCraft III,191632.33,60,29
1027,2003,4,Halo: Combat Evolved,107150.0,70,12
1028,2003,5,Unreal Tournament 2003,106156.41,17,7
1029,2003,6,Quake III Arena,95463.46,26,6
1030,2003,7,FIFA 03,54066.44,10,3
1031,2003,8,Age of Mythology,49000.0,8,3
1032,2003,9,Age of Empires II: The Age of Kings,16695.0,11,3
1033,2003,10,Super Smash Bros. Melee,15550.0,8,4
1034,2003,11,Tekken 4,12500.0,3,3
1035,2003,12,NASCAR Thunder 2003,5933.5,0,1
1036,2003,13,Gran Turismo 3: A-Spec,1500.0,3,1
1037,2003,14,Madden NFL 2004,1500.0,3,1
1038,2003,15,Soul Calibur II,1500.0,6,3
1039,2003,16,Age of Empires,625.0,4,1
1040,2003,17,Capcom vs. SNK 2,0.0,3,2
1041,2003,18,FIFA 04,0.0,0,1
1042,2003,19,Guilty Gear XX,0.0,3,1
1043,2003,20,Live for Speed,0.0,1,1
1044,2003,21,Marvel vs. Capcom 2,0.0,3,2
1045,2003,22,Street Fighter III: 3rd Strike,0.0,3,1
1046,2003,23,Super Street Fighter II Turbo,0.0,3,1
1047,2003,24,Tekken Tag Tournament,0.0,3,2
1048,2003,25,Virtua Fighter 4: Evolution,0.0,3,2
1049,2002,1,Counter-Strike,400994.88,352,14
1050,2002,2,StarCraft: Brood War,132944.26,36,10
1051,2002,3,Quake III Arena,102206.4,24,4
1052,2002,4,Return to Castle Wolfenstein,67424.3,30,2
1053,2002,5,Age of Empires II: The Age of Kings,61450.0,15,4
1054,2002,6,FIFA 2002 World Cup,43000.0,8,1
1055,2002,7,Unreal Tournament,43000.0,8,2
1056,2002,8,Unreal Tournament 2003,34000.0,18,5
1057,2002,9,WarCraft III,31285.25,12,4
1058,2002,10,NASCAR Thunder 2002,7679.25,0,1
1059,2002,11,Star Wars Jedi Knight II: Jedi Outcast,7679.25,0,1
1060,2002,12,Halo: Combat Evolved,5000.0,21,2
1061,2002,13,Age of Empires,100.0,3,1
1062,2002,14,Super Smash Bros. Melee,40.0,4,2
1063,2002,15,Capcom vs. SNK 2,0.0,3,1
1064,2002,16,Marvel vs. Capcom 2,0.0,3,1
1065,2002,17,Super Street Fighter II Turbo,0.0,3,1
1066,2001,1,Counter-Strike,345992.44,219,12
1067,2001,2,Quake III Arena,147736.74,48,14
1068,2001,3,Age of Empires II: The Age of Kings,143200.0,33,7
1069,2001,4,StarCraft: Brood War,91893.99,50,9
1070,2001,5,FIFA 2001,46000.0,9,2
1071,2001,6,Unreal Tournament,46000.0,9,2
1072,2001,7,Aliens versus Predator 2,40000.0,1,1
1073,2001,8,QuakeWorld,15000.0,8,1
1074,2001,9,Capcom vs. SNK,0.0,3,1
1075,2001,10,Marvel vs. Capcom 2,0.0,3,1
1076,2001,11,Street Fighter Alpha 3,0.0,3,1
1077,2001,12,Super Street Fighter II Turbo,0.0,3,1
1078,2000,1,Quake III Arena,415237.82,97,28
1079,2000,2,StarCraft: Brood War,133038.04,47,10
1080,2000,3,Age of Empires II: The Age of Kings,63528.11,14,5
1081,2000,4,FIFA 2000,50000.0,4,1
1082,2000,5,Counter-Strike,23763.33,62,2
1083,2000,6,Age of Empires,9500.0,4,1
1084,2000,7,Marvel vs. Capcom 2,0.0,3,1
1085,2000,8,Street Fighter Alpha 2,0.0,3,1
1086,2000,9,Street Fighter Alpha 3,0.0,3,1
1087,2000,10,Street Fighter III: 3rd Strike,0.0,3,1
1088,2000,11,Super Street Fighter II Turbo,0.0,3,1
1089,1999,1,StarCraft: Brood War,139553.84,40,11
1090,1999,2,Descent 3,50000.0,1,1
1091,1999,3,Quake III Arena,43200.0,15,2
1092,1999,4,Quake II,42400.0,12,2
1093,1998,1,Quake II,66200.0,16,4
1094,1998,2,QuakeWorld,43500.0,12,3
1095,1998,3,StarCraft: Brood War,20000.0,8,1
1096,1998,4,Age of Empires,2000.0,1,1
